file,time_sec,activation,above_threshold
Distress_Event_2_024230_2MIN.wav,68.9,0.313,0.001
Distress_Event_2_024230_2MIN.wav,69.0,0.3129,0.0009
Distress_Event_2_024230_2MIN.wav,69.3,0.3121,0.0
Distress_Event_2_024230_2MIN.wav,69.9,0.3121,1e-04
Distress_Event_2_024230_2MIN.wav,70.1,0.317,0.005
Distress_Event_2_024230_2MIN.wav,70.1,0.3125,0.0005
Distress_Event_2_024230_2MIN.wav,70.2,0.3152,0.0032
Distress_Event_2_024230_2MIN.wav,71.3,0.3168,0.0048
Distress_Event_2_024230_2MIN.wav,72.0,0.3139,0.0019
Distress_Event_2_024230_2MIN.wav,72.2,0.3135,0.0014
Distress_Event_2_024230_2MIN.wav,72.5,0.3158,0.0038
Distress_Event_2_024230_2MIN.wav,72.6,0.3122,0.0002
Distress_Event_2_024230_2MIN.wav,72.8,0.3121,1e-04
Distress_Event_2_024230_2MIN.wav,72.8,0.3134,0.0014
Distress_Event_2_024230_2MIN.wav,73.1,0.3147,0.0027
Distress_Event_2_024230_2MIN.wav,74.6,0.3128,0.0008
Distress_Event_2_024230_2MIN.wav,74.9,0.3136,0.0016
Distress_Event_2_024230_2MIN.wav,75.0,0.3134,0.0014
Distress_Event_2_024230_2MIN.wav,76.0,0.3147,0.0027
Distress_Event_2_024230_2MIN.wav,78.1,0.3135,0.0015
Distress_Event_2_024230_2MIN.wav,79.0,0.3132,0.0012
Distress_Event_2_024230_2MIN.wav,80.8,0.3124,0.0004
Distress_Event_2_024230_2MIN.wav,81.1,0.3125,0.0005
Distress_Event_2_024230_2MIN.wav,83.7,0.3124,0.0004
Distress_Event_2_024230_2MIN.wav,84.9,0.3139,0.0019
Distress_Event_2_024230_2MIN.wav,86.9,0.3128,0.0008
Distress_Event_2_024230_2MIN.wav,87.1,0.3152,0.0031
Distress_Event_2_024230_2MIN.wav,88.8,0.313,0.001
Distress_Event_2_024230_2MIN.wav,88.9,0.3122,1e-04
Distress_Event_2_024230_2MIN.wav,89.1,0.3127,0.0007
Distress_Event_2_024230_2MIN.wav,89.3,0.3129,0.0008
Distress_Event_2_024230_2MIN.wav,89.5,0.3131,0.0011
Distress_Event_2_024230_2MIN.wav,89.5,0.316,0.004
Distress_Event_2_024230_2MIN.wav,89.8,0.314,0.002
Distress_Event_2_024230_2MIN.wav,90.0,0.3127,0.0007
Distress_Event_2_024230_2MIN.wav,97.2,0.3138,0.0018
Distress_Event_2_024230_2MIN.wav,99.1,0.3125,0.0005
Distress_Event_2_024230_2MIN.wav,100.2,0.3126,0.0006
Distress_Event_2_024230_2MIN.wav,102.3,0.317,0.005
Distress_Event_2_024230_2MIN.wav,104.3,0.3131,0.0011
Distress_Event_2_024230_2MIN.wav,104.7,0.3178,0.0058
Distress_Event_2_024230_2MIN.wav,104.8,0.3148,0.0028
Distress_Event_2_024230_2MIN.wav,106.0,0.313,0.001
Distress_Event_2_024230_2MIN.wav,106.1,0.3121,1e-04
Distress_Event_2_024230_2MIN.wav,106.8,0.3122,0.0002
Distress_Event_2_024230_2MIN.wav,110.8,0.3123,0.0003
Distress_Event_2_024230_2MIN.wav,111.2,0.3142,0.0022
Distress_Event_2_024230_2MIN.wav,113.3,0.3142,0.0022
Distress_Event_2_024230_2MIN.wav,118.5,0.3124,0.0004
Prime_Suspect_024212_2MIN.wav,1.2,0.3136,0.0011
Prime_Suspect_024212_2MIN.wav,1.3,0.3127,0.0002
Prime_Suspect_024212_2MIN.wav,4.7,0.3137,0.0012
Prime_Suspect_024212_2MIN.wav,4.7,0.3136,0.0011
Prime_Suspect_024212_2MIN.wav,5.3,0.3135,0.001
Prime_Suspect_024212_2MIN.wav,5.5,0.3147,0.0022
Prime_Suspect_024212_2MIN.wav,6.1,0.3147,0.0022
Prime_Suspect_024212_2MIN.wav,6.3,0.315,0.0025
Prime_Suspect_024212_2MIN.wav,9.5,0.3158,0.0033
Prime_Suspect_024212_2MIN.wav,12.8,0.3175,0.005
Prime_Suspect_024212_2MIN.wav,13.2,0.3134,0.0009
Prime_Suspect_024212_2MIN.wav,13.3,0.3158,0.0033
Prime_Suspect_024212_2MIN.wav,13.8,0.3136,0.0012
Prime_Suspect_024212_2MIN.wav,16.1,0.314,0.0015
Prime_Suspect_024212_2MIN.wav,16.9,0.3156,0.0031
Prime_Suspect_024212_2MIN.wav,17.3,0.3126,1e-04
